Name,Link,Ingredients,Recipe Text
"Тефтели с брусничным соусом, маринованным огурцом и коричневым соусом",/recepty/osnovnye-blyuda/tefteli-s-brusnichnym-sousom-marinovannym-ogurcom-i-korichnevym-sousom-80440,"['Смешанный фарш', 'Молоко', 'Панировочные сухари', 'Куриное яйцо', 'Репчатый лук', 'Сливочное масло', 'Растительное масло', 'Свежемороженая брусника', 'Сахар', 'Огурцы', 'Соль', 'Уксус 9%-ный', 'Петрушка', 'Вода', 'Молотый черный перец', 'Сливки']","1. Огурец нарезать тонкими кольцами, посолить огурец, выложить на дуршлаг и положить сверху пресс. Дать огурцу стечь тридцать минут.
2. Смешать столовую ложку соли, три столовых ложки сахара, уксус, воду и мелко нарезанную петрушку. Залить огурец маринадом. Дать настояться в холодильнике около часа.
3. Мелко нарезанный репчатый лук пассеровать до мягкости в небольшом количестве масла. Залить сухари молоком.
4. Смешать мясной фарш с луком, яйцом, смесью молока и сухарей и специями в кухонном комбайне. Если фарш получился слишком густой, можно добавить немного воды.
5. Сформировать маленькие шарики и выложить их на тарелки, сбрызнутые водой.
6. Обжарить тефтели со всех сторон до образования корочки, на раскаленной сковороде в большом количестве смеси растительного и сливочного масла.
7. Для брусничного соуса перемешать замороженные ягоды со 100 граммами сахара. Дать ягодам оттаять и сахару раствориться. Перемешать перед подачей.
8. Поджарить сливочное масло в маленьком сотейнике до легкого румяного цвета, насыпать муки и обжарить,  непрерывно помешивая. Налить бульон и сливки, варить три-пять минут. Посолить и поперчить. Тефтели подавать с картофельным пюре, брусничным и коричневым соусами и маринованным огурцом."
Куриная лапша с потрохами,/recepty/supy/kurinaja-lapsha-s-potrohami-30371,"['Куриные желудки', 'Куриные сердца', 'Куриная печень', 'Репчатый лук', 'Морковь', 'Перепелиное яйцо', 'Яичная лапша', 'Куриный бульон', 'Петрушка', 'Укроп', 'Растительное масло', 'Соль', 'Молотый черный перец']","1. Куриные потроха промыть и очистить от пленок и жира. Положить каждый вид в отдельную кастрюлю, залить холодной водой, поставить на огонь, по­солить, поперчить и довести до кипения. С этого момента печень нужно варить двадцать-двадцать пять минут, сердца — сорок минут, а желудкам понадобится около часа.
2. Морковь мелко натереть, репчатый лук нарезать маленькими кубиками. Разогреть на сковороде немного масла, выложить в нее овощи и пассеровать, постоянно помешивая, две-три минуты. Переложить морковь с луком на тарелку, проложенную бумажной салфеткой, чтобы снять излишки масла.
3. Заранее сваренный куриный бульон перелить в кастрюлю, выложить в него потроха и довести до кипения. Добавить лук и морковь, а затем всыпать яичную лапшу — можно ее поломать, чтобы удобнее было есть суп. Попробовать бульон и, если нужно, посолить и поперчить.
4. Мелко нарезать петрушку и укроп. Примерно через три ми­нуты, после того как в бульо­не очутилась яичная лапша, пере­ложить в него зелень. А еще через пару минут огонь можно будет погасить: ориентироваться надо на готовность лапши.
5. Готовый суп-лапшу с потроха­ми разлить по тарелкам и положить в каждую порцию вареное перепелиное яйцо, разрезанное пополам."
Голубцы,/recepty/osnovnye-blyuda/golubcy-114527,"['Свиной фарш', 'Белокочанная капуста', 'Рис', 'Репчатый лук', 'Пшеничная мука', 'Томатная паста', 'Растительное масло', 'Сметана', 'Молотый черный перец', 'Соль']","1. Лук нарезать небольшим кубиком и обжарить на растительном масле до золотистого цвета. Параллельно сварить рис до готовности и охладить его.
2. Параллельно сварить рис до готовности и охладить его.
3. Смешать фарш с рисом и поджаренным луком, солью и перцем.
4. Капусту разобрать на листья, опустить их в кипящую воду на 5 минут, а затем откинуть на сито.
5. Аккуратно отбить черенки капустных листьев так, чтобы они стали мягкими и тонкими.
6. На середину листа выложить немного фарша и завернуть голубец.
7. Слегка обжарить голубцы на сковороде и переложить их в сотейник или кастрюлю.
8. В сковородку, где жарились голубцы влить стакан воды, добавить сметану, томатную пасту и муку.
9. Довести до кипения, посолить и залить этим соусом голубцы.
10. Поставить их на небольшой огонь, накрыть крышкой и тушить 30-40 минут."
Курица в белом вине в тайском стиле,/recepty/osnovnye-blyuda/kurica-v-belom-vine-v-tayskom-stile-19296,"['Белое сухое вино', 'Курица', 'Чеснок', 'Красный лук', 'Имбирь', 'Сельдерей', 'Лук-порей', 'Черный перец горошком', 'Лавровый лист', 'Зеленая паста карри', 'Базилик', 'Кинза', 'Соль', 'Лимонная трава', 'Молотый черный перец']","1. Курицу разделать на куски, на порцию — два разных вида мяса, белое и красное.
2. Залить вином, засыпать луком, сельдереем, пореем (только белой частью), тертым имбирем, мелко нарезанным чесноком, лавровым листом, лимонной травой, черным перцем горошком.
3. Добавить чайную ложку карри, посолить и перемешать. Поставить на ночь в холодильник.
4. Когда дойдет до дела, достать курицу из холодильника, вывалить в кастрюлю вместе со всем маринадом и поставить на огонь. Довести до кипения, убрать интенсивность нагрева и тушить на медленном огне полтора часа. Если маринад слишком сильно выкипит, то нужно добавить немного воды или куриного бульона.
5. Добавить рубленые листья базилика и кинзы и подавать курицу с пресным рисом."
Льежский салат,/recepty/salaty/lezhskiy-salat-80724,"['Молодой картофель', 'Зеленая стручковая фасоль', 'Яблоко', 'Сыровяленая ветчина', 'Репчатый лук', 'Красный винный уксус', 'Яблочный уксус', 'Оливковое масло']","1. Молодой картофель нарезать крупными кусками.
2. Бросить картофель в кипящую воду.
3. За 7 минут до готовности картофеля, вставить в кастрюлю дуршлаг или другую подходящую емкость, положить в нее фасоль и накрыть. Фасоль сварится на пару от картофеля.
4. Мелко нарезать лук.
5. Крупно нарезать ветчину.
6. Также нарезать яблоки.
7. На сковороде обжарить лук с ветчиной.
8. Затем добавить яблоки, влить уксусы и довести яблоки до мягкости на среднем огне, постоянно помешивая.
9. Смешать картошку, фасоль, яблоки с беконом и луком.
10. Полить оливковым маслом и подавать."
Чесночный суп «Айго-булидо»,/recepty/supy/chesnochnij-sup-ajgo-bulido-14291,"['Куриное яйцо', 'Чеснок', 'Шалфей', 'Помидоры', 'Белый хлеб', 'Оливковое масло']","1. Подготовить необходимые ингредиенты.
2. Очистить чеснок и раздавить его в ступке пестиком.
3. Вскипятить полтора литра воды в кастрюльке и всыпать в нее давленый чеснок. Кипятить пять минут на среднем огне.
4. Мелко нарубить помидоры.
5. Перебрать и мелко нарезать шалфей.
6. В сковороде на оливковом масле слегка обжарить мелко нарубленные помидоры и листья шалфея и переложить их в кастрюльку с кипятком и чесноком. Варить еще минуту.
7. Отделить желтки от белков.
8. Выключить огонь и загустить суп яичными желтками.
9. В тарелку положить горсть наломанных руками маленьких ­кусочков хлеба.
10. Залить хлеб супом."
Классический сырный суп,/recepty/supy/syrnyy-sup-126416,"['Картофель', 'Морковь', 'Репчатый лук', 'Растительное масло', 'Плавленый сырок', 'Соль', 'Молотый черный перец', 'Укроп']","1. Подготовить все ингредиенты.
2. Картофель очистить и нарезать небольшим кубиком.
3. Положить картофель в кастрюлю, залить 1,5 литра воды, довести до кипения и варить 15 минут.
4. Лук и морковь нарезать мелким кубиком.
5. На сковороде разогреть растительное масло, обжарить лук в течение 2–3 минут до прозрачности.
6. Затем добавить к луку морковь и пассеровать еще 5–7 минут.
7. Добавить пассерованные овощи в кастрюлю к картошке.
8. Туда же добавить сырок, поломав его на кусочки, и мешать до растворения сыра.
9. Посолить и поперчить сырный суп по вкусу.
10. Подавать, посыпав измельченным укропом."
Спагетти с лимонным песто,/recepty/pasta-picca/spagetti-s-limonnim-pesto-30218,"['Спагетти', 'Лимон', 'Чеснок', 'Сыр пекорино', 'Кедровые орехи', 'Базилик', 'Оливковое масло', 'Соль', 'Молотый черный перец']","1. Подготовить необходимые ингредиенты.
2. Поставить спагетти вариться в большом количестве подсоленной воды.
3. Разрезать лимоны.
4. Перебрать базилик.
5. Натереть сыр на мелкую терку.
6. Поместить в блендер базилик и чеснок.
7. Выдавить сок лимонов в блендер.
8. Добавить сыр пекорино.
9. Добавить орехи.
10. Влить оливковое масло.
11. Взбить ингредиенты до однородной массы. Приправить песто солью и перцем.
12. Готовые спагетти перемешать с соусом.
13. Сразу подавать."
Оладьи,/recepty/zavtraki/oladi-125611,"['Пшеничная мука', 'Свежие дрожжи', 'Молоко', 'Куриное яйцо', 'Сахар', 'Растительное масло', 'Соль']","1. Подготовить необходимые ингредиенты.
2. Смешать теплое молоко, сахар и дрожжи, оставить на 5–10 минут, пока на поверхности не появятся пузырьки.
3. Смешать опару с мукой при помощи миксера.
4. Накрыть чашу с тестом пленкой и поставить в теплое место на 40 минут, чтобы тесто поднялось.
5. К расстоявшемуся тесту добавить яйца.
6. Добавить соль.
7. Добавить столовую ложку масла, снова вымесить.  Накрыть чашу пленкой и убрать в теплое место еще на 30 минут.
8. На сковороде разогреть масло.
9. Не размешивая тесто, захватить часть его смоченной в воде ложкой, выложить на сковородку.
10. Обжаривать оладьи с обеих сторон. Подавать."
Гороховый суп с мятой и свиной рулькой,/recepty/supy/gorohovij-sup-s-mjatoj-svinoj-rulkoj-25692,"['Горох', 'Замороженный зеленый горошек', 'Морковь', 'Репчатый лук', 'Лук-порей', 'Свиная копченая рулька', 'Красный винный уксус', 'Сметана 20%-ная', 'Куриный бульон', 'Мята', 'Соль', 'Растительное масло', 'Молотый черный перец']","1. Мелко нарезать морковь, репчатый лук и порей. В глубоком сотейнике разогреть растительное масло и обжарить на нем в течение трех минут мелко нарезанные овощи, приправив внушительной щепоткой соли. После чего убрать огонь до минимума, накрыть крышкой и тушить овощи еще полчаса.
2. Дальше нужно добавить куриный бульон и свиную рульку и варить еще сорок минут. После чего охладить — естественным путем, в холодильнике или используя ледяную ванну, которую для кастрюли можно устроить во вместительной раковине. Охладить суп нужно для того, чтобы закинуть туда горох, который лучше начинать варить в негорячей жидкости.
3. Охладив, снова поставить на огонь, закинув сушеный горох. Варить час, после чего заправить уксусом и солью. Рульку извлечь, нарезать кубиками. Зеленый горошек бланшировать в подсоленной воде.
4. При подаче заправить суп зеленым горошком, кубиками свинины, сметаной и мелко нарубленной мятой."
