Name,Link,Type,Kitchen,Recipe,Ingredient_num,Portion_num,Time,Likes,Dislikes,Bookmarks
Гречка с грибами,/recepty/osnovnye-blyuda/grechnevaya-krupa-s-gribami-139957,Основные блюда,Русская кухня,Пошаговые рецепты,10,4,30 минут,19,1,434
Макароны по-флотски,/recepty/osnovnye-blyuda/makarony-po-flotski-125186,Основные блюда,Советская кухня,Пошаговые рецепты,7,4,30 минут,20,0,424
Смёргосторта,/recepty/zakuski/smyorgostorta-80435,Закуски,Шведская кухня,Пошаговые рецепты,25,6,45 минут,18,0,424
Менемен,/recepty/zavtraki/menemen-114833,Завтраки,Турецкая кухня,Пошаговые рецепты,10,4,25 минут,14,2,416
Плов с курицей,/recepty/osnovnye-blyuda/plov-s-kuricey-126440,Основные блюда,Советская кухня,Пошаговые рецепты,9,8,1 час  40 минут,17,3,492
Сабза-плов,/recepty/osnovnye-blyuda/sabza-plov-50484,Основные блюда,Азербайджанская кухня,Пошаговые рецепты,13,8,3 часа,22,3,483
Фиш-энд-чипс в пивном кляре,/recepty/osnovnye-blyuda/fish-end-chips-v-pivnom-klyare-81319,Основные блюда,Британская кухня,Пошаговые рецепты,8,4,1 час,9,1,385
Гороховый суп,/recepty/supy/gorohovyy-sup-139555,Супы,Русская кухня,Пошаговые рецепты,10,6,2 часа,11,1,383
Соус,/recepty/osnovnye-blyuda/sous-114548,Основные блюда,Русская кухня,Пошаговые рецепты,10,8,3 часа,22,4,368
Луковый конфитюр,/recepty/zakuski/lukovyy-konfityur-137580,Закуски,Итальянская кухня,Пошаговые рецепты,9,8,3 часа,11,1,347
Красный традиционный глёг,/recepty/napitki/krasnyy-tradicionnyy-glyog-57929,Напитки,Шведская кухня,Пошаговые рецепты,13,6,35 минут,2,0,337
Фо-бо,/recepty/supy/fo-bo-125525,Супы,Вьетнамская кухня,Пошаговые рецепты,18,8,4 часа  30 минут,11,0,311
Шоколадные трюфели,/recepty/vypechka-deserty/shokoladnye-tryufeli-114520,Выпечка и десерты,Французская кухня,Пошаговые рецепты,3,6,15 минут,7,1,316
Азу,/recepty/osnovnye-blyuda/azu-140192,Основные блюда,Советская кухня,Пошаговые рецепты,13,4,2 часа,15,1,299
Кошинья,/recepty/zakuski/koshinya-80886,Закуски,Бразильская кухня,Пошаговые рецепты,20,10,1 час,10,0,360
Рисовая каша,/recepty/zavtraki/risovaya-kasha-126246,Завтраки,Русская кухня,Пошаговые рецепты,6,6,40 минут,15,0,287
Белый глёг,/recepty/napitki/belyy-glyog-57928,Напитки,Европейская кухня,Пошаговые рецепты,5,6,35 минут,11,0,331
Мясная солянка,/recepty/supy/myasnaya-solyanka-136758,Супы,Русская кухня,Пошаговые рецепты,22,10,3 часа,7,1,271
Парата с картофельной начинкой,/recepty/vypechka-deserty/parata-s-kartofelnoy-nachinkoy-137198,Выпечка и десерты,Индийская кухня,Веганская еда,8,4,30 минут,6,0,264
Щи из свежей капусты,/recepty/supy/schi-iz-svezhey-kapusty-139539,Супы,Русская кухня,Пошаговые рецепты,14,6,4 часа,9,0,257
Классические бельгийские мидии,/recepty/zakuski/klassicheskie-belgiyskie-midii-91366,Закуски,Бельгийская кухня,Пошаговые рецепты,6,2,15 минут,6,0,253
Яичница с помидорами,/recepty/zavtraki/yaichnica-s-pomidorami-136755,Завтраки,Мировая кухня,Пошаговые рецепты,7,1,15 минут,13,1,257
Пудинг «Споттед дик»,/recepty/vypechka-deserty/puding-spotted-dik-81234,Выпечка и десерты,Британская кухня,Пошаговые рецепты,8,8,2 часа,2,0,255
Окономияки,/recepty/zakuski/okonomiyaki-137290,Закуски,Японская кухня,Пошаговые рецепты,15,4,40 минут,6,0,248
Индийские самосы с картофелем и зеленым горошком,/recepty/vypechka-deserty/indiyskie-samosy-s-kartofelem-i-zelenym-goroshkom-91958,Выпечка и десерты,Индийская кухня,Пошаговые рецепты,14,4,20 минут,8,2,229
Беляши,/recepty/vypechka-deserty/belyashi-126179,Выпечка и десерты,Татарская кухня,Пошаговые рецепты,8,10,1 час  30 минут,8,0,276
Кок-о-ван,/recepty/osnovnye-blyuda/kok-o-van-114843,Основные блюда,Французская кухня,Пошаговые рецепты,17,8,2 часа,6,1,227
Картофельный салат,/recepty/salaty/kartofelnyy-salat-150955,Салаты,Немецкая кухня,Пошаговые рецепты,10,6,45 минут,14,0,219
Конфеты из «Малютки»,/recepty/vypechka-deserty/konfety-iz-malyutki-136844,Выпечка и десерты,Советская кухня,Пошаговые рецепты,5,10,30 минут,9,1,255
Боксти,/recepty/zavtraki/boksti-125345,Завтраки,Ирландская кухня,Пошаговые рецепты,7,4,30 минут,6,2,208
Синяя панна-котта,/recepty/vypechka-deserty/sinyaya-panna-kotta-125097,Выпечка и десерты,Итальянская кухня,Пошаговые рецепты,8,4,15 минут,6,1,212
Пшенная каша,/recepty/zavtraki/pshennaya-kasha-126420,Завтраки,Русская кухня,Пошаговые рецепты,6,4,40 минут,11,6,251
Матбуха,/recepty/sousy-marinady/matbuha-125344,Соусы и маринады,Марокканская кухня,Пошаговые рецепты,9,6,2 часа,7,0,203
Путин,/recepty/zakuski/putin-81329,Закуски,Канадская кухня,Пошаговые рецепты,11,2,50 минут,3,6,200
Гречка по-купечески,/recepty/osnovnye-blyuda/grechka-po-kupecheski-140266,Основные блюда,Русская кухня,Пошаговые рецепты,13,4,40 минут,16,0,200
Сабайон,/recepty/vypechka-deserty/sabayon-125413,Выпечка и десерты,Итальянская кухня,Пошаговые рецепты,4,4,30 минут,2,1,194
Борщ с фасолью,/recepty/supy/borsch-s-fasolyu-126163,Супы,Русская кухня,Пошаговые рецепты,14,10,3 часа,9,1,232
Салат из авокадо с руколой и кунжутом,/recepty/salaty/salat-iz-avokado-s-rukoloy-i-kunzhutom-126295,Салаты,Европейская кухня,Вегетарианская еда,9,4,15 минут,3,1,186
Манная каша,/recepty/zavtraki/mannaya-kasha-126240,Завтраки,Русская кухня,Пошаговые рецепты,6,4,15 минут,10,0,219
Буберт,/recepty/zavtraki/bubert-137573,Завтраки,Немецкая кухня,Пошаговые рецепты,8,4,30 минут,8,1,219
Лечо с беконом и колбасками,/recepty/zakuski/lecho-s-bekonom-i-kolbaskami-137005,Закуски,Венгерская кухня,Пошаговые рецепты,7,4,1 час,5,0,182
Эггног,/recepty/napitki/eggnog-94175,Напитки,Британская кухня,Пошаговые рецепты,8,6,10 минут,3,0,181
Вареники с творогом,/recepty/zavtraki/vareniki-s-tvorogom-136853,Завтраки,Русская кухня,Пошаговые рецепты,10,6,1 час  30 минут,1,1,172
Кубанский борщ,/recepty/supy/kubanskiy-borsch-126241,Супы,Русская кухня,Пошаговые рецепты,15,10,3 часа,6,0,206
Арбузный мед,/recepty/zagotovki/arbuznyy-med-137117,Заготовки,Русская кухня,Веганская еда,2,10,5 часов,7,1,169
Севиче,/recepty/zakuski/seviche-93303,Закуски,Перуанская кухня,Пошаговые рецепты,8,4,20 минут,6,1,204
Сопа-де-лима,/recepty/supy/sopa-de-lima-93327,Супы,Мексиканская кухня,Пошаговые рецепты,16,8,30 минут,4,0,168
Пататас-бравас,/recepty/zakuski/patatas-bravas-124982,Закуски,Испанская кухня,Пошаговые рецепты,11,4,40 минут,4,2,203
Кальдо-де-папа (Куриный суп с картофелем),/recepty/supy/kaldo-de-papa-104175,Супы,Мексиканская кухня,Пошаговые рецепты,12,6,1 час  30 минут,2,2,165
Суп из фасоли,/recepty/supy/sup-iz-fasoli-140539,Супы,Русская кухня,Постная еда,12,6,1 час,11,1,159
Желтки святой Терезы,/recepty/vypechka-deserty/zheltki-svyatoy-terezy-104265,Выпечка и десерты,Испанская кухня,Пошаговые рецепты,6,8,30 минут,4,1,159
Суточные щи,/recepty/supy/sutochnye-schi-126158,Супы,Русская кухня,Пошаговые рецепты,14,10,4 часа,6,1,191
Зеленое ризотто,/recepty/rizotto/zelenoe-rizotto-125272,Ризотто,Итальянская кухня,Пошаговые рецепты,15,4,25 минут,8,0,157
Тайский салат Сом там,/recepty/salaty/som-tam-50327,Салаты,Тайская кухня,Пошаговые рецепты,10,4,20 минут,7,2,154
Дрочена,/recepty/zavtraki/drochena-126294,Завтраки,Русская кухня,Пошаговые рецепты,7,4,40 минут,5,6,150
Адобо,/recepty/osnovnye-blyuda/adobo-93189,Основные блюда,Филиппинская кухня,Пошаговые рецепты,9,8,1 час  30 минут,5,1,150
Эскабече,/recepty/zakuski/eskabeche-125548,Закуски,Испанская кухня,Пошаговые рецепты,12,8,30 минут,3,0,180
Пти-фарси,/recepty/zakuski/pti-farsi-125538,Закуски,Французская кухня,Пошаговые рецепты,15,6,1 час,2,0,142
Орешки со сгущенкой,/recepty/vypechka-deserty/oreshki-so-sguschenkoy-136987,Выпечка и десерты,Русская кухня,Пошаговые рецепты,7,10,30 минут,2,0,166
Мусс из авокадо с персиками и базиликом,/recepty/vypechka-deserty/muss-iz-avokado-s-persikami-i-bazilikom-93386,Выпечка и десерты,Европейская кухня,Пошаговые рецепты,7,1,30 минут,4,1,166
Томатный суп из  морепродуктов,/recepty/supy/tomatnij-sup-iz-moreproduktov-25076,Супы,Индонезийская кухня,Низкокалорийная еда,11,5,30 минут,861,110,10530
Банош,/recepty/zavtraki/banosh-137196,Завтраки,Украинская кухня,Пошаговые рецепты,5,6,40 минут,3,2,135
Тоффи,/recepty/vypechka-deserty/toffi-114547,Выпечка и десерты,Британская кухня,Пошаговые рецепты,6,10,20 минут,2,0,134
Салат из шпината с рыбой и облепиховым соусом,/recepty/salaty/salat-iz-shpinata-s-ryboy-i-oblepihovym-sousom-114446,Салаты,Пошаговые рецепты,,20,3,30 минут,5,0,131
Кысыр,/recepty/salaty/kysyr-125340,Салаты,Турецкая кухня,Пошаговые рецепты,17,6,1 час  10 минут,5,1,129
Шиншин-ди-галинья,/recepty/osnovnye-blyuda/shinshin-di-galinya-104252,Основные блюда,Бразильская кухня,Пошаговые рецепты,16,10,1 час  30 минут,1,0,156
Чангуа,/recepty/zavtraki/changua-114375,Завтраки,Колумбийская кухня,Пошаговые рецепты,8,4,15 минут,6,1,153
Картофельные ньокки,/recepty/pasta-picca/kartofelnye-nokki-151430,Паста и пицца,Итальянская кухня,Пошаговые рецепты,12,6,1 час,7,0,152
Спагетти с зеленым горошком и тунцом,/recepty/pasta-picca/spagetti-s-zelenym-goroshkom-i-tuncom-125374,Паста и пицца,Пошаговые рецепты,,11,4,30 минут,3,1,115
Зефир,/recepty/vypechka-deserty/zefir-139829,Выпечка и десерты,Русская кухня,Пошаговые рецепты,6,40,10 минут,7,0,113
Спагетти с вонголе,/recepty/pasta-picca/spagetti-s-vongole-139713,Паста и пицца,Итальянская кухня,Пошаговые рецепты,9,2,30 минут,7,0,113
Мамалыга,/recepty/zakuski/mamalyga-139292,Закуски,Молдавская кухня,Пошаговые рецепты,5,6,30 минут,2,4,101
Курица в соевом соусе,/recepty/osnovnye-blyuda/kurica-v-soevom-souse-140469,Основные блюда,Паназиатская кухня,Пошаговые рецепты,6,4,30 минут,4,0,101
Эллебрёд,/recepty/zavtraki/ellebryod-114526,Завтраки,Датская кухня,Пошаговые рецепты,8,4,20 минут,7,2,98
Чечевичный суп с томатами,/recepty/supy/chechevichnij-sup-s-tomatami-30827,Супы,Индийская кухня,Веганская еда,13,8,40 минут,469,30,7519
Спагетти с анчоусами и хлебными крошками,/recepty/pasta-picca/spagetti-s-anchousami-i-hlebnymi-kroshkami-42453,Паста и пицца,Средиземноморская кухня,Пошаговые рецепты,7,8,50 минут,6,1,94
Киббех,/recepty/osnovnye-blyuda/kibbeh-125540,Основные блюда,Ливанская кухня,Пошаговые рецепты,12,8,50 минут,1,2,86
Заливная рыба,/recepty/zakuski/zalivnaya-ryba-126232,Закуски,Русская кухня,Пошаговые рецепты,9,8,1 час,1,0,85
Гречка с курицей,/recepty/osnovnye-blyuda/grechnevaya-krupa-s-kuricey-151244,Основные блюда,Русская кухня,Пошаговые рецепты,12,4,30 минут,3,0,82
Гороховый суп с блинчиками,/recepty/supy/gorohovyy-sup-s-blinchikami-136820,Супы,Шведская кухня,Пошаговые рецепты,14,8,3 часа,6,2,77
Домашняя паста тальятелле,/recepty/pasta-picca/domashnyaya-pasta-talyatelle-140068,Паста и пицца,Итальянская кухня,Пошаговые рецепты,5,4,1 час,1,0,92
Классический минестроне,/recepty/supy/klassicheskiy-minestrone-140881,Супы,Итальянская кухня,Вегетарианская еда,17,4,1 час,5,0,76
Креветочный коктейль,/recepty/zakuski/krevetochnyy-kokteyl-136833,Закуски,Американская кухня,Пошаговые рецепты,7,4,30 минут,1,1,86
Вьетнамский суп с курицей и ананасом,/recepty/supy/vetnamskij-sup-s-kuricej-i-ananasom-40765,Супы,Вьетнамская кухня,Пошаговые рецепты,14,6,1 час,2,1,86
Суп с тушенкой,/recepty/supy/sup-s-tushenkoy-139741,Супы,Русская кухня,Пошаговые рецепты,12,5,1 час,10,0,69
Похмельный суп,/recepty/supy/pohmelnij-sup-37209,Супы,Латиноамериканская кухня,Пошаговые рецепты,17,8,1 час  50 минут,3,1,63
Фаршированные мидии,/recepty/zakuski/farshirovannye-midii-136654,Закуски,Турецкая кухня,Пошаговые рецепты,15,6,2 часа,2,0,60
Московский борщ с картофелем,/recepty/supy/moskovskiy-borsch-s-kartofelem-138567,Супы,Русская кухня,Пошаговые рецепты,16,6,2 часа,5,1,57
Суп из чечевицы,/recepty/supy/sup-iz-chechevicy-151446,Супы,Русская кухня,Веганская еда,15,4,1 час,4,0,56
Рыбный суп мармитако,/recepty/supy/rybnyy-sup-marmitako-22251,Супы,Испанская кухня,Пошаговые рецепты,14,4,1 час,3,1,57
Вареники с вишней Лары Кацовой,/recepty/vypechka-deserty/vareniki-s-vishney-lary-kacovoy-136861,Выпечка и десерты,Украинская кухня,Вегетарианская еда,9,10,2 часа,1,1,54
Классический рассольник,/recepty/supy/klassicheskiy-rassolnik-151705,Супы,Русская кухня,Пошаговые рецепты,15,8,5 часов,3,0,60
Салат из свиных ушей,/recepty/zakuski/salat-iz-svinyh-ushey-94055,Закуски,Китайская кухня,Пошаговые рецепты,13,2,1 час,1,1,50
Лечо на зиму,/recepty/zagotovki/lecho-na-zimu-151359,Заготовки,Советская кухня,Пошаговые рецепты,9,16,1 час,6,0,48
Макароны с фаршем,/recepty/pasta-picca/makarony-s-farshem-151180,Паста и пицца,Русская кухня,Пошаговые рецепты,11,4,30 минут,2,0,47
Сациви по рецепту Похлебкина,/recepty/osnovnye-blyuda/sacivi-po-receptu-pohlebkina-126282,Основные блюда,Грузинская кухня,Пошаговые рецепты,15,10,1 час,2,1,57
Быстрый и простой домашний суп рамен,/recepty/supy/bystryy-i-prostoy-domashniy-sup-ramen-173510,Супы,Японская кухня,Пошаговые рецепты,11,2,20 минут,1,1,41
Тажин с курицей и лимоном,/recepty/osnovnye-blyuda/tazhin-s-kuricey-i-limonom-104184,Основные блюда,Марокканская кухня,Пошаговые рецепты,12,4,2 часа  50 минут,2,0,39
Суп из свинины,/recepty/supy/sup-iz-svininy-151440,Супы,Американская кухня,Пошаговые рецепты,17,4,3 часа,4,0,37
Суп с кунжутом,/recepty/supy/sup-s-kunzhutom-31029,Супы,Арабская кухня,Пошаговые рецепты,7,6,30 минут,1,3,38
Гречневый суп,/recepty/supy/grechnevyy-sup-139712,Супы,Украинская кухня,Пошаговые рецепты,11,6,3 часа,2,0,36
Тельное,/recepty/osnovnye-blyuda/telnoe-137701,Основные блюда,Русская кухня,Пошаговые рецепты,11,8,1 час  30 минут,2,2,30
Тушенка из свинины,/recepty/zagotovki/tushenka-iz-svininy-138553,Заготовки,Русская кухня,Пошаговые рецепты,16,10,5 часов,4,1,28
Гадо-гадо,/recepty/salaty/gado-gado-114400,Салаты,Индонезийская кухня,Пошаговые рецепты,15,2,40 минут,1,0,26
Домашний борщ,/recepty/supy/borsch-150984,Супы,Украинская кухня,Пошаговые рецепты,14,6,1 час,1,0,25
Блины со сметаной,/recepty/vypechka-deserty/bliny-so-smetanoy-151791,Выпечка и десерты,Русская кухня,Пошаговые рецепты,10,4,40 минут,2,0,24
Постный гороховый суп,/recepty/supy/postnyy-gorohovyy-sup-152074,Супы,Русская кухня,Пошаговые рецепты,15,8,1 час,1,0,28
Японский оливье,/recepty/salaty/yaponskiy-olive-140262,Салаты,Японская кухня,Пошаговые рецепты,18,6,1 час,3,0,22
Креветки в соусе песто,/recepty/zakuski/krevetki-v-souse-pesto-52575,Закуски,Итальянская кухня,Пошаговые рецепты,12,4,15 минут,67,5,1341
Грибная икра,/recepty/zakuski/gribnaya-ikra-140067,Закуски,Русская кухня,Пошаговые рецепты,9,4,1 час,2,0,23
Домашний сыр,/recepty/zakuski/domashniy-syr-151262,Закуски,Мировая кухня,Пошаговые рецепты,2,4,45 минут,1,0,16
Пёркёльт и турошчуса,/recepty/osnovnye-blyuda/pjorkjolt-turoshchusa-20766,Основные блюда,Венгерская кухня,Пошаговые рецепты,14,12,2 часа,32,1,1069
Пельмени с лососем и судаком,/recepty/osnovnye-blyuda/pelmeni-s-lososem-sudakom-29882,Основные блюда,Русская кухня,Пошаговые рецепты,16,10,35 минут,48,3,1282
Суп с курицей,/recepty/supy/sup-s-kuricey-151388,Супы,Европейская кухня,Пошаговые рецепты,16,8,2 часа  30 минут,2,0,15
Домашняя ветчина,/recepty/zakuski/domashnyaya-vetchina-151188,Закуски,Советская кухня,Пошаговые рецепты,7,20,4 часа,2,0,14
Постный борщ,/recepty/supy/postnyy-borsch-s-fasolyu-173323,Супы,Русская кухня,Постная еда,18,12,45 минут,1,0,14
"Свиной язык с соусом из тофу, сезонными перцами и помидорами",/recepty/zakuski/svinoy-yazyk-s-sousom-iz-tofu-sezonnymi-percami-i-pomidorami-125768,Закуски,Пошаговые рецепты,,13,4,20 минут,2,0,14
"Молодая капуста с креветками, йогуртом и травами",/recepty/osnovnye-blyuda/molodaya-kapusta-s-krevetkami-yogurtom-i-travami-153082,Основные блюда,Авторская кухня,Пошаговые рецепты,16,2,30 минут,4,0,13
Яичная лапша с говядиной в пиве а-ля Строганов,/recepty/osnovnye-blyuda/yaichnaya-lapsha-s-govyadinoy-v-pive-a-lya-stroganov-163276,Основные блюда,Русская кухня,Пошаговые рецепты,14,4,30 минут,2,0,15
Солянка рыбная сборная,/recepty/supy/soljanka-ribnaja-sbornaja-42438,Супы,Русская кухня,Пошаговые рецепты,13,6,1 час  10 минут,14,1,824
Тефтели из трески,/recepty/osnovnye-blyuda/tefteli-iz-treski-47435,Основные блюда,Эстонская кухня,Пошаговые рецепты,8,6,50 минут,29,5,966
Вареники с зеленой редькой,/recepty/osnovnye-blyuda/vareniki-s-zelenoy-redkoy-175914,Основные блюда,Русская кухня,Постная еда,8,4,1 час,1,0,11
Летний салат с курицей по-вьетнамски,/recepty/salaty/letniy-salat-s-kuricey-po-vetnamski-186426,Салаты,Вьетнамская кухня,Пошаговые рецепты,18,1,20 минут,3,0,11
Панна-котта Адриана Кетгласа,/recepty/vypechka-deserty/panna-kotta-30413,Выпечка и десерты,Итальянская кухня,Пошаговые рецепты,16,8,30 минут,15,5,718
Дьявольские яйца со вкусом карбонары,/recepty/zakuski/dyavolskie-yayca-so-vkusom-karbonary-55931,Закуски,Итальянская кухня,Пошаговые рецепты,8,10,20 минут,19,2,729
Каша из полбы с пастернаком,/recepty/zavtraki/kasha-iz-polby-s-pasternakom-140775,Завтраки,Авторская кухня,Пошаговые рецепты,8,1,40 минут,1,0,10
Телячья печень с пряной грушей,/recepty/osnovnye-blyuda/telyachya-pechen-s-pryanoy-grushey-174363,Основные блюда,Авторская кухня,Пошаговые рецепты,22,5,1 час,1,0,9
Гречневая лапша с уткой и кунжутом,/recepty/osnovnye-blyuda/grechnevaya-lapsha-s-utkoy-i-kunzhutom-163277,Основные блюда,Паназиатская кухня,Пошаговые рецепты,13,2,30 минут,1,0,11
Салат аджапсандали,/recepty/zakuski/adzhapsandali-50038,Закуски,Азербайджанская кухня,Пошаговые рецепты,9,4,1 час,19,3,633
Кюфта из говядины,/recepty/osnovnye-blyuda/kyufta-iz-govyadiny-151133,Основные блюда,Армянская кухня,Пошаговые рецепты,8,6,1 час  30 минут,1,0,9
Спагетти болоньезе,/recepty/pasta-picca/spagetti-boloneze-57932,Паста и пицца,Итальянская кухня,Пошаговые рецепты,17,8,2 часа,32,4,709
Яичная лапша с грибами в сливочном соусе,/recepty/osnovnye-blyuda/yaichnaya-lapsha-s-gribami-v-slivochnom-souse-173477,Основные блюда,Русская кухня,Пошаговые рецепты,11,2,30 минут,1,0,8
Традиционный филиппинский суп пансит с яичной лапшой,/recepty/supy/tradicionnyy-filippinskiy-sup-pansit-s-yaichnoy-lapshoy-173511,Супы,Филиппинская кухня,Пошаговые рецепты,15,2,25 минут,2,0,7
Гречневая лапша стир-фрай с брокколи и арахисом,/recepty/osnovnye-blyuda/grechnevaya-lapsha-stir-fray-s-brokkoli-i-arahisom-173509,Основные блюда,Паназиатская кухня,Пошаговые рецепты,11,2,20 минут,1,0,7
Пшеничная лапша с лососем и сливочным сыром,/recepty/osnovnye-blyuda/pshenichnaya-lapsha-s-lososem-i-slivochnym-syrom-163274,Основные блюда,Европейская кухня,Пошаговые рецепты,11,2,30 минут,1,0,8
Фиш-энд-чипс с минтаем,/recepty/osnovnye-blyuda/fish-end-chips-51306,Основные блюда,Британская кухня,Пошаговые рецепты,10,6,2 часа,7,3,436
Перцы фаршированные мясом и рисом,/recepty/osnovnye-blyuda/percy-farshirovannye-myasom-i-risom-26665,Основные блюда,Советская кухня,Пошаговые рецепты,10,5,1 час,195,27,2854
Гороховый суп с ананасом,/recepty/supy/gorohovij-sup-33827,Супы,Авторская кухня,Пошаговые рецепты,10,8,30 минут,11,2,504
Шоколадные конфеты с ганашем,/recepty/vypechka-deserty/shokoladnye-konfety-s-ganashem-137341,Выпечка и десерты,Европейская кухня,Пошаговые рецепты,5,6,30 минут,2,0,7
